file_name,longest_caption
COCO_val2014_000000433483.jpg,Black and white picture with a stop light at tree line level.
COCO_val2014_000000102349.jpg,A small girl rides a horse through a crowded street.
COCO_val2014_000000128119.jpg,A city bus stops at the edge of the road to pick up passengers.
COCO_val2014_000000182611.jpg,People serving themselves food from a buffet table in a private home.
COCO_val2014_000000253579.jpg,A woman tends to a tea kettle that sits on a kitchen stove.
COCO_val2014_000000080306.jpg,a close up of a tennis player holding a racket and a ball
COCO_val2014_000000078371.jpg,A small airplane that is getting ready to take off from the runway. 
COCO_val2014_000000227033.jpg,A train traveling down tracks next to a loading area.
COCO_val2014_000000246613.jpg,Various beauty supplies sit around the sink of a clean bathroom.
COCO_val2014_000000438692.jpg,A bear leaning next to a tire in his outdoor cage with a playground.
COCO_val2014_000000127476.jpg,A pizza with different toppings sitting on a pan. 
COCO_val2014_000000565469.jpg,A tall building with a clock tower that is lit up at the top.
COCO_val2014_000000311300.jpg,Two girls on skateboards riding down a suburban street
COCO_val2014_000000371883.jpg,A bathroom with toilet and window above and a colorful shower curtain.
COCO_val2014_000000450458.jpg,Someone in a classic car looking at an old cablecar.
COCO_val2014_000000402346.jpg,"A counter with a flower, tomatoes in a bowl and silver canister. "
COCO_val2014_000000486991.jpg,A brown truck riding down a dirt road near a grassy field.
COCO_val2014_000000413948.jpg,A person is skiing down a mountain next to a  blue line in the snow.
COCO_val2014_000000526767.jpg,A bathroom with a stall shower and a white sink basin.
COCO_val2014_000000352789.jpg,A black cow and a brown calf laying together on some grass
COCO_val2014_000000000715.jpg,"Smoothies in plastic cups lined up in a glass container and a black crate full of oranges, bananas and pineapple. "
COCO_val2014_000000438707.jpg,A small bird poking around in some rocks by the edge of the water.
COCO_val2014_000000262113.jpg,A piece of fruit is sliced in half and displayed with several other pieces of fruit.
COCO_val2014_000000458168.jpg,A cow standing in front of a old farm building.
COCO_val2014_000000190664.jpg,An orange fire hydrant sitting at the side of the street.
COCO_val2014_000000171539.jpg,An old fashion red truck has its hood up near a dog and lady. 
COCO_val2014_000000089273.jpg,Instructions on how to make an upside down cranberry cake. 
COCO_val2014_000000503233.jpg,two guys playing frisbee in the front yard by a tree in front of a house
COCO_val2014_000000090501.jpg,A very cute green wooden bench and some very pretty flowers.
COCO_val2014_000000351887.jpg,A group of people sitting under an umbrella around a table filled with cups and silverware.
COCO_val2014_000000316054.jpg,A train traveling through a rural country side covered in grass.
